Wins,QB:Comp%,QB:Pass Yds,QB:Pass TD,QB:Int,QB:First Down,QB:Adj Yds/att,Pass Yds/comp,QB:Pass Yds/g,QB:Sacked,QB:Sacked/g,GWD,RB:Rush Yds,RB:Rush TD,RB:First Down,RB:Yds/rush,RB:Fumbles,WR1:Catch%,WR1:Rec Yds,WR1:Rec TD,WR1:First Downs,WR1:Yds/rec,WR1:Yds/tgt,WR1:Fumbles,WR2:Catch%,WR2:Rec Yds,WR2:Rec TD,WR2:First Downs,WR2:Yds/rec,WR2:Yds/tgt,WR2:Fumbles,WR3:Catch%,WR3:Rec Yds,WR3:Rec TD,WR3:First Downs,WR3:Yds/rec,WR3:Yds/tgt,WR3:Fumbles,TE:Catch%,TE:Rec Yds,TE:Rec TD,TE:First Downs,TE:Yds/rec,TE:Yds/tgt,TE:Fumbles,OL:Sacked,OL:Sacked/g,OL:Yds/rush,DL:Blitzes,DL:Blitz%,DL:Hurries,DL:Hurry%,DL:Knockdowns,DL:Knockdown%,DL:Sacks,DL:Pressures,DL:Pressure%,LB:Total Yds,LB:Points,LB:Yds/play,LB:FF,LB:Pass Yds/att,LB:Rush Yds,LB:Rush TD,LB:Yds/rush,LB:Penalties,LB:Penalty Yds,DB:Pass Comp,DB:Pass Yds,DB:Pass TD,DB:Int,DB:Pass Net Yds/att,DB:Pass FD,DB:Turnovers,DB:Penalties,DB:Penalty Yards,DB:Turnover%,DB:Total Yds,DB:Points
3,55.6,2334,9,11,112,5.3,11.0,179.5,44,10.3,1,639,4,29,4.3,1,55.8,538,5,24,12.5,7.0,0,57.6,492,4,23,14.5,8.3,2,54.9,449,1,20,16.0,8.8,0,64.3,261,2,14,9.7,6.2,1,44,10.3,4.3,160,24.8,55,8.5,50.0,8.5,33,138,21.4,6760,504,5.9,7,7.1,2351,28,4.5,84,814,401,4409,28,7,7.1,234,14,84,814,7.4,6760,504
8,61.3,3144,16,9,143,7.1,11.9,209.6,26,5.7,2,784,10,56,5.6,9,61.5,916,5,43,14.3,8.8,1,69.4,647,1,25,15.0,10.4,0,57.9,299,2,13,9.1,5.2,2,73.7,830,4,42,14.8,10.9,1,26,5.7,5.6,112,17.4,75,11.6,51.0,8.7,29,155,24.0,5590,385,5.2,4,6.1,1834,18,4.0,92,824,409,3756,28,12,6.1,208,16,92,824,8.9,5590,385
9,64.5,3740,22,10,188,6.2,9.6,233.8,38,5.9,7,1200,7,62,3.9,0,63.3,1161,8,59,10.9,6.9,2,56.2,860,2,35,14.6,8.2,0,54.5,285,2,9,11.9,6.5,0,75.9,497,7,34,8.3,6.3,1,38,5.9,3.9,176,27.0,71,10.9,44.0,7.8,55,170,26.1,6139,398,5.5,9,5.9,2483,17,5.0,123,1017,355,3656,24,13,5.9,186,22,123,1017,10.8,6139,398
9,68.3,3810,20,12,172,8.3,12.7,254.0,29,6.2,3,963,5,47,4.7,0,63.6,1405,6,51,18.2,11.6,4,66.7,826,5,37,14.8,9.8,2,63.2,282,5,15,11.8,7.4,1,75.5,910,6,42,12.8,9.7,2,29,6.2,4.7,143,22.8,51,8.1,52.0,9.5,48,151,24.1,5270,365,5.1,11,5.9,1760,17,4.0,94,793,372,3510,25,9,5.9,180,20,94,793,9.3,5270,365
6,64.8,3113,25,6,135,8.4,12.0,222.4,33,7.6,1,749,6,28,6.3,0,68.2,1175,8,41,16.1,11.0,0,58.1,967,12,48,12.9,7.5,1,62.5,343,4,12,13.7,8.6,1,76.2,478,4,26,10.0,7.6,2,33,7.6,6.3,161,22.4,75,10.4,50.0,7.6,34,159,22.1,6445,366,5.4,7,6.5,1932,16,3.8,96,919,443,4513,24,11,6.5,240,18,96,919,8.5,6445,366
13,67.5,5316,43,12,269,7.8,11.0,312.7,22,3.0,5,812,8,45,4.5,1,77.2,1103,5,55,11.3,8.7,2,64.9,1035,14,56,14.0,9.1,0,67.7,545,4,29,13.0,8.8,0,61.8,802,6,34,14.6,9.0,0,22,3.0,4.5,348,45.4,95,12.4,77.0,11.3,47,219,28.6,5635,353,5.2,12,5.6,1573,11,4.3,79,635,445,4062,26,17,5.6,214,29,79,635,14.7,5635,353
12,67.2,3734,21,14,192,6.6,10.5,219.6,47,8.1,4,937,10,49,4.3,1,60.0,869,5,45,13.8,8.3,0,66.7,476,4,23,12.5,8.4,1,64.6,434,1,19,14.0,9.0,0,77.5,210,3,12,6.8,5.3,0,47,8.1,4.3,150,21.3,79,11.2,47.0,7.5,43,169,24.0,5607,354,5.4,6,6.2,1438,14,3.9,118,1070,395,4169,24,16,6.2,204,22,118,1070,10.8,5607,354
7,65.0,3419,20,15,167,6.4,10.7,213.7,38,7.1,4,1037,7,65,4.0,6,59.2,1053,5,47,13.7,8.1,0,81.1,397,2,15,9.2,7.5,0,66.1,383,0,23,9.3,6.2,0,61.2,271,2,14,9.0,5.5,0,38,7.1,4.0,206,31.0,68,10.2,55.0,9.2,38,161,24.2,6108,434,5.7,8,6.8,1775,14,4.1,96,803,400,4333,34,11,6.8,220,19,96,803,10.7,6108,434
3,66.4,2368,14,7,119,6.0,9.1,215.3,25,6.0,1,782,7,48,4.3,3,66.7,717,3,35,11.2,7.5,2,62.6,709,3,33,10.6,6.6,1,81.3,467,2,19,9.0,7.3,1,68.1,406,4,24,8.6,5.9,0,25,6.0,4.3,225,34.5,48,7.4,63.0,10.6,36,147,22.5,5931,449,5.5,9,6.2,2016,21,4.5,94,757,414,3915,29,11,6.2,218,20,94,757,10.5,5931,449
5,61.3,2219,15,9,111,7.0,12.1,170.7,28,8.5,3,1035,3,53,4.9,0,61.5,866,4,48,12.0,7.4,3,65.6,533,3,25,13.3,8.7,1,56.5,268,2,9,20.6,11.7,0,47.5,356,2,20,12.7,6.0,0,28,8.5,4.9,98,16.3,23,3.8,44.0,7.8,21,88,14.6,6156,386,5.7,7,6.8,2214,15,4.4,100,804,372,3942,26,10,6.8,200,17,100,804,10.0,6156,386
